Отлично, я готов выполнить задачу строго по вашей инструкции. Однако **исходный текст
отсутствует**. Для работы мне необходим текст, который нужно адаптировать.
**Пожалуйста, предоставьте исходный учебный текст.** Как только я получу текст, я
немедленно выполню все этапы декомпозиции задачи и предоставлю результат в требуемом
формате JSON с двумя версиями текста и списком терминов.
**Напомню этапы, которые я выполню сразу после получения текста:**

1.  **ЭТАП 1: АНАЛИЗ ТЕКСТА**
*   Выявление всех профессиональных и специализированных терминов.
*   Определение сложных грамматических конструкций.
*   Определение слишком длинных предложений.

2.  **ЭТАП 2: РАБОТА С ТЕРМИНАМИ**
*   Составление списка терминов.
*   Написание простых объяснений для уровня B1.
*   Подготовка терминов для версии "с терминами".

3.  **ЭТАП 3: УПРОЩЕНИЕ ТЕКСТА (с учетом уровня B1)**
*   Разбивка длинных предложений на короткие (до 12-15 слов).
*   Упрощение сложной грамматики (особенно сложноподчиненных конструкций).
*   Замена редких/сложных слов на более частотные и простые.
*   Сохранение логической структуры и основного смысла.

4.  **ЭТАП 4: ФОРМИРОВАНИЕ ДВУХ ВЕРСИЙ**
*   `adapted_text_with_terms`: Адаптированный текст с сохраненными терминами (и их
объяснениями либо в тексте, либо отдельным списком).
*   `adapted_text_without_terms`: Тот же текст, где все термины заменены на "…".
*   `professional_terms`: Массив объектов с полями `term` и `definition`.
**Ожидаю ваш исходный текст для начала работы!**
